book_id,cust_id,rating
613,49452,5
606,22007,1
235,72296,3
536,14303,2
529,53254,5
438,25609,4
401,41563,5
751,23267,4
888,16040,3
353,59007,3
108,68498,2
950,17204,5
564,39534,5
261,34307,3
538,35629,1
8,68877,1
69,84332,5
921,78285,3
474,46594,5
807,51528,5
200,22749,4
422,28234,3
494,22030,2
309,61736,2
939,42285,2
493,72711,2
983,71635,2
211,58298,3
915,76004,5
977,45444,1
156,65112,3
870,85659,4
393,24081,5
911,58572,1
259,83477,1
364,51057,5
522,25787,2
709,80579,5
664,53050,5
695,21803,4
618,40059,3
719,55560,4
162,30543,3
56,48299,3
677,26338,3
839,21108,2
692,17987,1
337,13009,3
743,71154,2
414,20164,1
899,60698,1
945,34165,3
352,26864,3
13,63949,3
316,53782,2
860,66136,2
753,46619,3
580,80983,1
61,28497,2
213,60495,4
519,13119,2
50,89140,2
579,33901,4
571,33422,1
692,33391,4
520,73540,1
505,54325,5
690,20640,2
766,21598,3
709,89017,2
369,56544,3
112,74216,5
255,42947,2
444,63510,1
598,19735,1
740,52621,2
231,76846,4
752,52426,3
981,33211,3
848,34301,3
757,70827,4
636,17074,3
491,36109,2
393,33652,4
286,60375,1
632,64634,3
690,65977,5
535,16896,3
877,70835,2
44,35780,4
61,70814,1
158,31297,2
54,88901,5
579,72218,3
494,42140,5
724,29959,3
365,53754,4
998,30227,5
509,52662,5
31,30087,3
608,54641,5
698,33332,5
599,27624,3
628,75911,1
214,58382,1
646,70497,5
338,28374,4
283,39252,4
221,41989,3
721,73298,1
634,45406,5
436,25677,5
89,54762,1
379,50721,2
510,32619,4
243,19797,1
549,43947,4
978,41386,4
726,36162,5
310,38799,3
826,12594,4
963,31821,5
578,62950,5
374,32218,4
704,30559,2
116,51384,3
239,24033,5
341,28224,1
982,57908,3
360,33820,1
814,50631,1
64,42413,5
6,30671,1
905,17395,5
668,19184,4
348,33395,5
670,41334,4
976,73861,5
295,78568,1
328,62548,1
102,30828,5
871,30287,4
576,41071,3
825,17383,4
235,10118,5
726,39497,2
950,21600,4
382,40019,4
197,50653,3
899,38624,1
469,84662,4
995,24002,3
175,66086,5
98,77740,1
100,78061,2
33,87681,5
438,40074,2
468,80264,4
667,43333,4
792,56312,5
536,26929,3
425,61976,5
159,66014,4
390,23497,3
331,12525,1
726,54506,3
138,56637,2
799,37044,3
376,27786,3
839,57251,5
261,50349,5
901,35087,5
323,84093,3
242,47634,1
852,65691,3
215,60114,1
811,50553,1
500,59646,4
870,67285,3
281,28090,3
808,49665,3
344,86650,1
937,60778,3
590,63047,5
404,27409,3
164,46913,2
961,26099,4
107,58568,1
874,67058,3
839,79481,4
245,51406,2
771,58067,2
17,36786,2
837,74670,5
884,28468,5
541,10546,5
27,75228,4
119,52530,5
549,36292,1
631,47855,4
32,14655,1
724,71886,1
67,74434,4
643,62207,2
69,23410,5
319,66798,4
240,50774,4
476,87675,3
836,11223,2
828,60356,4
201,75901,5
685,39953,3
730,89841,1
826,88732,1
617,74858,4
493,36466,1
26,35619,1
620,28557,1
442,13741,5
715,45699,5
587,41152,5
970,71272,3
764,64576,2
711,62793,3
283,49930,1
764,44536,4
977,30799,2
690,57057,2
562,83795,3
307,61582,3
307,68593,5
312,75913,2
504,59225,3
53,26264,4
40,23857,3
741,25163,2
619,62407,3
245,78384,1
984,15767,2
464,11675,4
411,89403,2
930,66512,5
688,37169,4
518,10060,3
953,61344,3
516,45250,5
386,39218,3
968,25901,5
492,30259,1
984,18930,3
403,69613,5
212,89432,3
223,13976,3
931,67732,4
126,65016,2
763,43187,5
559,69934,1
125,56510,3
534,67363,2
157,33577,4
687,41588,2
111,85862,5
421,39678,1
337,36085,5
174,29821,1
960,25427,4
156,55104,5
42,88017,5
505,63492,2
70,50288,4
437,89187,2
362,31024,2
735,83115,5
876,83249,2
995,25574,4
34,63298,5
165,14497,2
460,31585,1
861,64964,3
537,80130,1
197,70261,1
286,48952,2
876,61231,3
279,74021,5
311,88997,4
677,40234,4
19,29283,1
767,52892,5
672,86403,5
109,56564,4
321,31210,1
298,36059,4
871,52651,1
69,15554,1
857,73703,5
908,61665,5
978,49062,3
415,72124,1
29,73171,5
81,65769,4
34,45312,2
270,60242,1
501,31217,5
55,64441,1
403,69752,3
203,49847,1
571,39166,5
551,36289,3
753,30913,1
46,18608,2
693,46118,2
69,11844,2
25,21900,4
859,71984,1
754,59571,4
156,84837,1
181,12085,5
630,89068,4
40,21493,5
787,65461,2
788,67592,5
415,30234,1
611,77906,4
3,47342,4
525,60686,1
408,51584,5
391,83548,4
810,14758,3
436,26365,4
361,88140,4
2,49589,3
570,34831,2
913,54077,1
498,16578,1
478,41978,3
129,36022,5
349,35865,3
831,21163,2
785,22354,2
533,42718,5
248,56063,4
800,13509,3
528,89311,1
800,71797,3
276,86441,4
511,66246,5
854,49459,1
146,83862,3
49,89092,4
996,29174,2
429,63339,1
13,30998,4
959,60542,3
662,38213,3
830,72541,3
252,20095,2
230,55792,3
775,82015,1
385,60820,1
215,74709,4
968,20465,5
658,58046,4
133,58218,1
691,46746,2
252,66304,4
620,85836,5
373,35798,4
351,39345,2
474,65948,3
689,40488,3
166,36442,2
312,83225,3
819,78022,1
272,68415,4
889,70272,2
393,88076,2
917,10294,2
428,27352,4
996,17509,4
21,48552,3
790,57555,1
223,85932,5
206,78572,2
371,82544,3
505,34846,1
848,72087,4
299,44727,4
198,40618,5
2,26215,1
422,59787,4
367,12227,3
386,79255,1
612,60670,5
876,10945,1
379,60414,1
587,14472,2
684,22318,5
9,67160,5
871,19176,2
627,58060,5
707,27964,5
477,68526,4
391,50961,2
63,60493,3
409,78257,2
61,46919,3
467,25725,1
193,30126,1
196,10433,1
102,64525,2
940,45833,2
606,51605,2
325,50400,2
912,78754,2
495,65503,3
184,85321,5
625,77687,4
844,49760,5
27,35702,2
376,75080,2
239,78194,3
519,14108,2
170,62383,2
994,70671,3
302,21219,3
309,50918,5
826,20566,4
878,76492,1
645,63967,1
483,54768,3
407,30583,4
962,84849,1
614,86437,4
988,77423,3
580,83045,2
568,69847,3
345,62520,4
325,74606,2
588,41808,3
763,68451,5
584,41424,1
977,71089,5
549,85244,4
310,35893,3
44,16034,3
197,44335,3
732,32093,2
634,15576,1
73,86125,1
961,11503,3
320,89550,3
862,82865,2
888,24818,3
845,53879,5
933,42212,5
595,55236,4
53,21298,2
7,12521,2
521,53859,3
684,55365,4
735,66259,4
107,80603,5
73,32122,3
520,51185,4
215,41206,5
549,68924,3
299,16711,2
217,84116,2
481,85328,3
84,68753,3
798,76044,3
431,76821,1
562,25036,1
704,61038,4
783,43703,4
359,22379,3
488,84245,5
548,87014,2
243,27715,3
739,29933,4
869,70262,1
961,62201,4
87,63309,4
666,25064,2
948,53803,5
752,25198,3
565,21871,3
146,54591,3
167,88460,1
857,34602,2
178,33891,3
27,47108,5
510,51412,5
349,71484,2
592,36844,1
397,47791,1
923,72079,4
213,37025,2
741,86515,1
902,61788,4
173,60304,4
898,20012,1
274,58126,4
312,18206,2
580,34760,1
401,19118,1
459,12273,4
380,20410,5
474,64437,3
379,59096,4
724,11458,3
80,85554,3
627,73269,4
490,70012,1
43,72601,1
878,85270,5
202,31660,2
585,13529,4
217,35286,1
83,10642,5
48,17051,5
209,89783,1
242,64854,3
559,47934,5
604,85746,1
942,78591,2
85,76421,2
632,12610,4
677,27628,5
453,68921,1
878,46058,2
317,37152,2
461,30393,2
605,23001,4
588,16253,4
450,46407,3
605,30291,2
469,68707,4
835,76468,4
945,36459,2
897,11944,5
144,35141,3
767,39063,5
923,36836,1
941,42002,3
437,21402,5
222,76228,2
414,36516,2
509,87587,1
195,83830,2
914,72280,5
666,87416,3
354,60564,1
114,55939,3
518,54305,1
759,71146,5
405,22688,5
854,36812,5
935,59297,2
842,71275,2
601,17206,5
904,75425,3
40,29123,5
786,53327,2
237,25081,2
361,34427,1
210,23690,5
105,75743,1
149,34542,3
451,59220,3
460,19299,3
553,26190,5
20,10871,1
938,29512,5
830,29753,2
360,81017,1
32,74763,5
697,31977,3
